nmtkp,tgldtgsjp,tglsep,jumlahsep,harilibur
RITL,2022-07-26,2022-07-26T00:00:00.000000Z,42427,0
RITL,2022-07-27,2022-07-27T00:00:00.000000Z,42877,0
RITL,2022-07-28,2022-07-28T00:00:00.000000Z,40773,0
RITL,2022-07-29,2022-07-29T00:00:00.000000Z,35998,0
RITL,2022-07-30,2022-07-30T00:00:00.000000Z,27074,1
RITL,2022-07-31,2022-07-31T00:00:00.000000Z,30150,0
RITL,2022-08-01,2022-08-01T00:00:00.000000Z,46988,0
RITL,2022-08-02,2022-08-02T00:00:00.000000Z,44827,0
RITL,2022-08-03,2022-08-03T00:00:00.000000Z,43939,0
RITL,2022-08-04,2022-08-04T00:00:00.000000Z,41600,0
RITL,2022-08-05,2022-08-05T00:00:00.000000Z,38439,0
RITL,2022-08-06,2022-08-06T00:00:00.000000Z,32008,0
RITL,2022-08-07,2022-08-07T00:00:00.000000Z,31255,0
RITL,2022-08-08,2022-08-08T00:00:00.000000Z,47853,0
RITL,2022-08-09,2022-08-09T00:00:00.000000Z,44097,0
RITL,2022-08-10,2022-08-10T00:00:00.000000Z,43453,0
RITL,2022-08-11,2022-08-11T00:00:00.000000Z,42150,0
RITL,2022-08-12,2022-08-12T00:00:00.000000Z,39116,0
RITL,2022-08-13,2022-08-13T00:00:00.000000Z,31819,0
RITL,2022-08-14,2022-08-14T00:00:00.000000Z,30822,0
RITL,2022-08-15,2022-08-15T00:00:00.000000Z,46361,0
RITL,2022-08-16,2022-08-16T00:00:00.000000Z,39978,0
RITL,2022-08-17,2022-08-17T00:00:00.000000Z,33309,1
RITL,2022-08-18,2022-08-18T00:00:00.000000Z,44633,0
RITL,2022-08-19,2022-08-19T00:00:00.000000Z,40064,0
RITL,2022-08-20,2022-08-20T00:00:00.000000Z,33056,0
RITL,2022-08-21,2022-08-21T00:00:00.000000Z,31645,0
RITL,2022-08-22,2022-08-22T00:00:00.000000Z,48859,0
RITL,2022-08-23,2022-08-23T00:00:00.000000Z,45694,0
RITL,2022-08-24,2022-08-24T00:00:00.000000Z,44399,0
RITL,2022-08-25,2022-08-25T00:00:00.000000Z,42834,0
RITL,2022-08-26,2022-08-26T00:00:00.000000Z,40314,0
RITL,2022-08-27,2022-08-27T00:00:00.000000Z,32873,0
RITL,2022-08-28,2022-08-28T00:00:00.000000Z,31852,0
RITL,2022-08-29,2022-08-29T00:00:00.000000Z,47656,0
RITL,2022-08-30,2022-08-30T00:00:00.000000Z,45063,0
RITL,2022-08-31,2022-08-31T00:00:00.000000Z,44690,0
RITL,2022-09-01,2022-09-01T00:00:00.000000Z,43905,0
RITL,2022-09-02,2022-09-02T00:00:00.000000Z,41740,0
RITL,2022-09-03,2022-09-03T00:00:00.000000Z,34343,0
RITL,2022-09-04,2022-09-04T00:00:00.000000Z,32984,0
RITL,2022-09-05,2022-09-05T00:00:00.000000Z,50583,0
RITL,2022-09-06,2022-09-06T00:00:00.000000Z,47108,0
RITL,2022-09-07,2022-09-07T00:00:00.000000Z,45998,0
RITL,2022-09-08,2022-09-08T00:00:00.000000Z,44867,0
RITL,2022-09-09,2022-09-09T00:00:00.000000Z,42421,0
RITL,2022-09-10,2022-09-10T00:00:00.000000Z,34040,0
RITL,2022-09-11,2022-09-11T00:00:00.000000Z,33177,0
RITL,2022-09-12,2022-09-12T00:00:00.000000Z,50075,0
RITL,2022-09-13,2022-09-13T00:00:00.000000Z,47404,0
RITL,2022-09-14,2022-09-14T00:00:00.000000Z,46499,0
RITL,2022-09-15,2022-09-15T00:00:00.000000Z,45692,0
RITL,2022-09-16,2022-09-16T00:00:00.000000Z,42159,0
RITL,2022-09-17,2022-09-17T00:00:00.000000Z,35843,0
RITL,2022-09-18,2022-09-18T00:00:00.000000Z,34275,0
RITL,2022-09-19,2022-09-19T00:00:00.000000Z,51658,0
RITL,2022-09-20,2022-09-20T00:00:00.000000Z,48833,0
RITL,2022-09-21,2022-09-21T00:00:00.000000Z,47558,0
RITL,2022-09-22,2022-09-22T00:00:00.000000Z,46649,0
RITL,2022-09-23,2022-09-23T00:00:00.000000Z,42632,0
RITL,2022-09-24,2022-09-24T00:00:00.000000Z,36245,0
RITL,2022-09-25,2022-09-25T00:00:00.000000Z,34940,0
RITL,2022-09-26,2022-09-26T00:00:00.000000Z,51510,0
RITL,2022-09-27,2022-09-27T00:00:00.000000Z,48567,0
RITL,2022-09-28,2022-09-28T00:00:00.000000Z,47600,0
RITL,2022-09-29,2022-09-29T00:00:00.000000Z,45370,0
RITL,2022-09-30,2022-09-30T00:00:00.000000Z,42339,0
RITL,2022-10-01,2022-10-01T00:00:00.000000Z,35994,0
RITL,2022-10-02,2022-10-02T00:00:00.000000Z,33111,0
RITL,2022-10-03,2022-10-03T00:00:00.000000Z,46329,0
RITL,2022-10-04,2022-10-04T00:00:00.000000Z,47385,0
RITL,2022-10-05,2022-10-05T00:00:00.000000Z,47912,0
RITL,2022-10-06,2022-10-06T00:00:00.000000Z,45826,0
RITL,2022-10-07,2022-10-07T00:00:00.000000Z,39959,0
RITL,2022-10-08,2022-10-08T00:00:00.000000Z,30614,1
RITL,2022-10-09,2022-10-09T00:00:00.000000Z,35212,0
RITL,2022-10-10,2022-10-10T00:00:00.000000Z,52590,0
RITL,2022-10-11,2022-10-11T00:00:00.000000Z,49486,0
RITL,2022-10-12,2022-10-12T00:00:00.000000Z,48725,0
RITL,2022-10-13,2022-10-13T00:00:00.000000Z,46479,0
RITL,2022-10-14,2022-10-14T00:00:00.000000Z,42559,0
RITL,2022-10-15,2022-10-15T00:00:00.000000Z,36539,0
RITL,2022-10-16,2022-10-16T00:00:00.000000Z,35257,0
RITL,2022-10-17,2022-10-17T00:00:00.000000Z,52161,0
RITL,2022-10-18,2022-10-18T00:00:00.000000Z,49699,0
RITL,2022-10-19,2022-10-19T00:00:00.000000Z,48702,0
RITL,2022-10-20,2022-10-20T00:00:00.000000Z,47125,0
RITL,2022-10-21,2022-10-21T00:00:00.000000Z,43836,0
RITL,2022-10-22,2022-10-22T00:00:00.000000Z,37778,0
RITL,2022-10-23,2022-10-23T00:00:00.000000Z,35895,0
RITL,2022-10-24,2022-10-24T00:00:00.000000Z,51717,0
RITL,2022-10-25,2022-10-25T00:00:00.000000Z,48337,0
RITL,2022-10-26,2022-10-26T00:00:00.000000Z,47102,0
RITL,2022-10-27,2022-10-27T00:00:00.000000Z,46214,0
RITL,2022-10-28,2022-10-28T00:00:00.000000Z,43599,0
RITL,2022-10-29,2022-10-29T00:00:00.000000Z,36590,0
RITL,2022-10-30,2022-10-30T00:00:00.000000Z,34725,0
RITL,2022-10-31,2022-10-31T00:00:00.000000Z,51105,0
RITL,2022-11-01,2022-11-01T00:00:00.000000Z,49731,0
RITL,2022-11-02,2022-11-02T00:00:00.000000Z,48322,0
RITL,2022-11-03,2022-11-03T00:00:00.000000Z,47139,0
RITL,2022-11-04,2022-11-04T00:00:00.000000Z,42290,0
RITL,2022-11-05,2022-11-05T00:00:00.000000Z,35474,0
RITL,2022-11-06,2022-11-06T00:00:00.000000Z,33962,0
RITL,2022-11-07,2022-11-07T00:00:00.000000Z,49762,0
RITL,2022-11-08,2022-11-08T00:00:00.000000Z,46742,0
RITL,2022-11-09,2022-11-09T00:00:00.000000Z,46117,0
RITL,2022-11-10,2022-11-10T00:00:00.000000Z,45123,0
RITL,2022-11-11,2022-11-11T00:00:00.000000Z,42387,0
RITL,2022-11-12,2022-11-12T00:00:00.000000Z,34367,0
RITL,2022-11-13,2022-11-13T00:00:00.000000Z,32426,0
RITL,2022-11-14,2022-11-14T00:00:00.000000Z,49583,0
RITL,2022-11-15,2022-11-15T00:00:00.000000Z,46977,0
RITL,2022-11-16,2022-11-16T00:00:00.000000Z,45851,0
RITL,2022-11-17,2022-11-17T00:00:00.000000Z,43273,0
RITL,2022-11-18,2022-11-18T00:00:00.000000Z,40654,0
