nmtkp,tgldtgsjp,jumlahsep,tanggal,harilibur
RJTL,8/25/2022,480551,,0.0
RJTL,8/26/2022,425062,,0.0
RJTL,8/27/2022,253282,,0.0
RJTL,8/28/2022,37081,,0.0
RJTL,8/29/2022,538260,,0.0
RJTL,8/30/2022,489733,,0.0
RJTL,8/31/2022,423094,,0.0
RJTL,9/1/2022,449234,,0.0
RJTL,9/2/2022,400467,,0.0
RJTL,9/3/2022,241824,,0.0
RJTL,9/4/2022,34290,,0.0
RJTL,9/5/2022,506433,,0.0
RJTL,9/6/2022,470503,,0.0
RJTL,9/7/2022,431968,,0.0
RJTL,9/8/2022,454984,,0.0
RJTL,9/9/2022,410872,,0.0
RJTL,9/10/2022,250069,,0.0
RJTL,9/11/2022,34965,,0.0
RJTL,9/12/2022,538779,,0.0
RJTL,9/13/2022,496396,,0.0
RJTL,9/14/2022,437436,,0.0
RJTL,9/15/2022,479073,,0.0
RJTL,9/16/2022,409459,,0.0
RJTL,9/17/2022,248473,,0.0
RJTL,9/18/2022,36379,,0.0
RJTL,9/19/2022,542781,,0.0
RJTL,9/20/2022,501926,,0.0
RJTL,9/21/2022,454176,,0.0
RJTL,9/22/2022,480197,,0.0
RJTL,9/23/2022,430502,,0.0
RJTL,9/24/2022,255110,,0.0
RJTL,9/25/2022,38759,,0.0
RJTL,9/26/2022,554754,,0.0
RJTL,9/27/2022,508955,,0.0
RJTL,9/28/2022,464735,,0.0
RJTL,9/29/2022,488168,,0.0
RJTL,9/30/2022,436023,,0.0
RJTL,10/1/2022,253766,,0.0
RJTL,10/2/2022,36313,,0.0
RJTL,10/3/2022,334178,,0.0
RJTL,10/4/2022,461456,,0.0
RJTL,10/5/2022,507744,,0.0
RJTL,10/6/2022,490024,,0.0
RJTL,10/7/2022,424304,,0.0
RJTL,10/8/2022,59861,10/8/2022,1.0
RJTL,10/9/2022,37073,,0.0
RJTL,10/10/2022,543699,,0.0
RJTL,10/11/2022,506306,,0.0
RJTL,10/12/2022,501453,,0.0
RJTL,10/13/2022,492972,,0.0
RJTL,10/14/2022,433171,,0.0
RJTL,10/15/2022,265124,,0.0
RJTL,10/16/2022,39734,,0.0
RJTL,10/17/2022,529066,,0.0
RJTL,10/18/2022,493546,,0.0
RJTL,10/19/2022,489560,,0.0
RJTL,10/20/2022,491749,,0.0
RJTL,10/21/2022,428734,,0.0
RJTL,10/22/2022,251036,,0.0
RJTL,10/23/2022,40647,,0.0
RJTL,10/24/2022,542001,,0.0
RJTL,10/25/2022,494486,,0.0
RJTL,10/26/2022,476310,,0.0
RJTL,10/27/2022,497743,,0.0
RJTL,10/28/2022,436958,,0.0
RJTL,10/29/2022,266946,,0.0
RJTL,10/30/2022,43216,,0.0
RJTL,10/31/2022,538371,,0.0
RJTL,11/1/2022,488134,,0.0
RJTL,11/2/2022,453713,,0.0
RJTL,11/3/2022,470187,,0.0
RJTL,11/4/2022,421818,,0.0
